Start on cuda:0!
22048 examples in training set and 9450 examples in validation set
epoch: 76, epoch_time: 37m22s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.643, best_train_mIoU: 0.650, valid_mIoU: 0.643, best_valid_mIoU: 0.646
epoch: 77, epoch_time: 37m19s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.644, best_train_mIoU: 0.650, valid_mIoU: 0.595, best_valid_mIoU: 0.646
epoch: 78, epoch_time: 37m29s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.648, best_train_mIoU: 0.650, valid_mIoU: 0.581, best_valid_mIoU: 0.646
epoch: 79, epoch_time: 37m18s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.644, best_train_mIoU: 0.650, valid_mIoU: 0.608, best_valid_mIoU: 0.646
epoch: 80, epoch_time: 37m16s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.647, best_train_mIoU: 0.650, valid_mIoU: 0.625, best_valid_mIoU: 0.646
epoch: 81, epoch_time: 37m23s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.642, best_train_mIoU: 0.650, valid_mIoU: 0.627, best_valid_mIoU: 0.646
epoch: 82, epoch_time: 37m22s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.643, best_train_mIoU: 0.650, valid_mIoU: 0.615, best_valid_mIoU: 0.646
epoch: 83, epoch_time: 37m16s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.644, best_train_mIoU: 0.650, valid_mIoU: 0.634, best_valid_mIoU: 0.646
epoch: 84, epoch_time: 37m23s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.647, best_train_mIoU: 0.650, valid_mIoU: 0.614, best_valid_mIoU: 0.646
epoch: 85, epoch_time: 37m36s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.641, best_train_mIoU: 0.650, valid_mIoU: 0.643, best_valid_mIoU: 0.646
epoch: 86, epoch_time: 37m34s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.645, best_train_mIoU: 0.650, valid_mIoU: 0.640, best_valid_mIoU: 0.646
epoch: 87, epoch_time: 37m42s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.645, best_train_mIoU: 0.650, valid_mIoU: 0.614, best_valid_mIoU: 0.646
epoch: 88, epoch_time: 37m21s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.644, best_train_mIoU: 0.650, valid_mIoU: 0.615, best_valid_mIoU: 0.646
epoch: 89, epoch_time: 37m16s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.644, best_train_mIoU: 0.650, valid_mIoU: 0.618, best_valid_mIoU: 0.646
epoch: 90, epoch_time: 37m26s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.643, best_train_mIoU: 0.650, valid_mIoU: 0.629, best_valid_mIoU: 0.646
epoch: 91, epoch_time: 37m26s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.641, best_train_mIoU: 0.650, valid_mIoU: 0.637, best_valid_mIoU: 0.646
epoch: 92, epoch_time: 37m28s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.647, best_train_mIoU: 0.650, valid_mIoU: 0.635, best_valid_mIoU: 0.646
epoch: 93, epoch_time: 37m21s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.643, best_train_mIoU: 0.650, valid_mIoU: 0.637, best_valid_mIoU: 0.646
epoch: 94, epoch_time: 37m29s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.645, best_train_mIoU: 0.650, valid_mIoU: 0.625, best_valid_mIoU: 0.646
epoch: 95, epoch_time: 37m22s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.646, best_train_mIoU: 0.650, valid_mIoU: 0.631, best_valid_mIoU: 0.646
epoch: 96, epoch_time: 37m21s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.642, best_train_mIoU: 0.650, valid_mIoU: 0.616, best_valid_mIoU: 0.646
epoch: 97, epoch_time: 37m27s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.647, best_train_mIoU: 0.650, valid_mIoU: 0.610, best_valid_mIoU: 0.646
epoch: 98, epoch_time: 37m27s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.646, best_train_mIoU: 0.650, valid_mIoU: 0.593, best_valid_mIoU: 0.646
epoch: 99, epoch_time: 37m31s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.645, best_train_mIoU: 0.650, valid_mIoU: 0.592, best_valid_mIoU: 0.646
train_time: 3739m4s, 9.83examples/sec, total_time: 3739m4s, best_train_mIoU: 0.650, best_valid_mIoU: 0.646
Finish!
